UID        PID  PPID  C STIME TTY          TIME CMD
root      4032     2  0 06:19 ?        00:00:00 [btrfs-endio-met]
root      4034     2  0 06:19 ?        00:00:00 [btrfs-freespace]
root      4036     2  0 06:19 ?        00:00:00 [btrfs-cache-1]
root      4037     2  0 06:19 ?        00:00:00 [btrfs-readahead]
root      4039     2  0 06:19 ?        00:00:00 [btrfs-cleaner]
root      4040     2  0 06:19 ?        00:00:02 [btrfs-transacti]
grid      4404     1  0 07:17 ?        00:00:00 /u01/app/12.1.0.1/grid/bin/tnslsnr LISTENER_SC
grid      4416     1  0 07:18 ?        00:00:02 /u01/app/12.1.0.1/grid/bin/scriptagent.bin
grid      4446     1  0 07:18 ?        00:01:04 /u01/app/12.1.0.1/grid/jdk/bin/java -server -X
grid      5986     1  0 07:18 ?        00:00:00 oracle+ASM1_ocr (DESCRIPTION=(LOCAL=YES)(ADDRE
grid      6978     1  0 07:19 ?        00:00:00 oracle-MGMTDB (DESCRIPTION=(LOCAL=YES)(ADDRESS
root      8339     1  0 06:27 ?        00:00:00 /sbin/udevd -d
root      8382     2  0 06:27 ?        00:00:07 [kworker/1:1]
root      8899     2  0 06:27 ?        00:00:11 [flush-btrfs-2]
root      9431     1  0 07:20 ?        00:00:55 /u01/app/12.1.0.1/grid/bin/ologgerd -M -d /u01
grid      9443     1  0 07:20 ?        00:00:00 oracle-MGMTDB (LOCAL=NO)
grid      9445     1  0 07:20 ?        00:00:00 oracle-MGMTDB (LOCAL=NO)
grid      9451     1  0 07:20 ?        00:00:17 oracle-MGMTDB (LOCAL=NO)
root      9454     2  0 07:20 ?        00:00:03 [btrfs-endio-wri]
root      9536     2  0 07:24 ?        00:00:01 [btrfs-endio-wri]
root      9679     2  0 07:29 ?        00:00:02 [btrfs-endio-wri]
root     10152     2  0 07:30 ?        00:00:00 [kworker/0:1]
grid     10196     1  0 07:30 ?        00:00:26 asm_dia0_+ASM1
root     11434     2  0 07:31 ?        00:00:02 [btrfs-delayed-m]
root     11454     2  0 07:32 ?        00:00:00 [btrfs-flush_del]
grid     13736     1  0 07:35 ?        00:00:01 oracle-MGMTDB (LOCAL=NO)
root     13775     2  0 07:36 ?        00:00:00 [btrfs-endio-met]
root     14192     2  0 07:43 ?        00:00:00 [btrfs-worker-3]
root     14400     2  0 07:45 ?        00:00:00 [btrfs-delayed-m]
root     17833     2  0 07:45 ?        00:00:00 [btrfs-worker-2]
root     18194     1  0 06:42 ?        00:00:00 /bin/sh /etc/init.d/init.ohasd run
root     22895     2  0 07:46 ?        00:00:00 [btrfs-endio-met]
root     24222     2  0 07:46 ?        00:00:00 [btrfs-endio-2]
root     24810     2  0 07:50 ?        00:00:00 [kworker/1:2]
postfix  24991  1180  0 07:58 ?        00:00:00 pickup -l -t fifo -u
grid     25403     1  0 08:16 ?        00:00:12 mdb_o000_-MGMTDB
grid     25405     1  0 08:16 ?        00:00:00 oracle+ASM1_o000_-mgmtdb (DESCRIPTION=(LOCAL=Y
root     25851     2  0 08:36 ?        00:00:00 [kworker/0:2]
grid     26286     1  0 08:56 ?        00:00:00 mdb_w000_-MGMTDB
root     26356     2  0 08:57 ?        00:00:00 [btrfs-endio-wri]
root     26489     2  0 08:58 ?        00:00:00 [btrfs-endio-2]
grid     27180     1  0 09:05 ?        00:00:00 mdb_w001_-MGMTDB
root     27555     2  0 09:21 ?        00:00:00 [kworker/1:0]
root     27562     2  0 09:21 ?        00:00:00 [btrfs-endio-wri]
root     27636     2  0 09:23 ?        00:00:00 [btrfs-endio-wri]
root     27651     2  0 09:23 ?        00:00:00 [btrfs-worker-2]
root     27652     2  0 09:23 ?        00:00:00 [btrfs-endio-2]
root     27653     2  0 09:23 ?        00:00:00 [btrfs-endio-3]
root     27654     2  0 09:23 ?        00:00:00 [btrfs-endio-4]
root     27676  1104  1 09:24 ?        00:00:00 sshd: vagrant [priv]
vagrant  27678 27676  3 09:24 ?        00:00:00 sshd: vagrant@pts/0
root     27679 27678  1 09:24 pts/0    00:00:00 sudo ps -fea
root     27698 27679  5 09:24 pts/0    00:00:00 ps -fea
Connection to 127.0.0.1 closed.
